{'episode': 56, 'reward': 231.79999999999967, 'avg_reward': np.float64(144.21403508771937), 'epsilon': np.float64(0.754077311788483), 'max_position': 70, 'steps': 501}
{'episode': 57, 'reward': 204.09999999999977, 'avg_reward': np.float64(145.24655172413802), 'epsilon': np.float64(0.750358807088596), 'max_position': 70, 'steps': 501}
{'episode': 58, 'reward': 239.39999999999958, 'avg_reward': np.float64(146.842372881356), 'epsilon': np.float64(0.7466588855076726), 'max_position': 70, 'steps': 501}
{'episode': 59, 'reward': 227.8999999999997, 'avg_reward': np.float64(148.1933333333334), 'epsilon': np.float64(0.7429774541771169), 'max_position': 70, 'steps': 501}
{'episode': 60, 'reward': 204.29999999999978, 'avg_reward': np.float64(149.1131147540984), 'epsilon': np.float64(0.739314420692441), 'max_position': 70, 'steps': 501}
{'episode': 61, 'reward': 228.69999999999953, 'avg_reward': np.float64(150.39677419354842), 'epsilon': np.float64(0.7356696931109459), 'max_position': 70, 'steps': 501}
{'episode': 62, 'reward': 227.89999999999958, 'avg_reward': np.float64(151.62698412698415), 'epsilon': np.float64(0.7320431799494135), 'max_position': 71, 'steps': 501}
{'episode': 63, 'reward': 214.40000000000015, 'avg_reward': np.float64(152.60781250000002), 'epsilon': np.float64(0.7284347901818102), 'max_position': 88, 'steps': 501}
{'episode': 64, 'reward': 177.49999999999991, 'avg_reward': np.float64(152.99076923076925), 'epsilon': np.float64(0.7248444332370029), 'max_position': 70, 'steps': 501}
{'episode': 65, 'reward': 227.09999999999968, 'avg_reward': np.float64(154.1136363636364), 'epsilon': np.float64(0.7212720189964843), 'max_position': 70, 'steps': 501}
{'episode': 66, 'reward': 239.89999999999958, 'avg_reward': np.float64(155.39402985074628), 'epsilon': np.float64(0.7177174577921127), 'max_position': 70, 'steps': 501}
{'episode': 67, 'reward': 234.39999999999998, 'avg_reward': np.float64(156.55588235294118), 'epsilon': np.float64(0.7141806604038593), 'max_position': 154, 'steps': 501}
{'episode': 68, 'reward': 249.49999999999994, 'avg_reward': np.float64(157.90289855072464), 'epsilon': np.float64(0.7106615380575706), 'max_position': 88, 'steps': 501}
{'episode': 69, 'reward': 242.09999999999985, 'avg_reward': np.float64(159.1057142857143), 'epsilon': np.float64(0.7071600024227388), 'max_position': 154, 'steps': 501}
{'episode': 70, 'reward': 208.2000000000002, 'avg_reward': np.float64(159.79718309859157), 'epsilon': np.float64(0.7036759656102858), 'max_position': 88, 'steps': 501}
{'episode': 71, 'reward': 231.79999999999995, 'avg_reward': np.float64(160.79722222222225), 'epsilon': np.float64(0.7002093401703561), 'max_position': 88, 'steps': 501}
{'episode': 72, 'reward': 231.1999999999997, 'avg_reward': np.float64(161.76164383561644), 'epsilon': np.float64(0.6967600390901224), 'max_position': 70, 'steps': 501}
{'episode': 73, 'reward': 233.59999999999994, 'avg_reward': np.float64(162.73243243243243), 'epsilon': np.float64(0.6933279757916017), 'max_position': 88, 'steps': 501}
{'episode': 74, 'reward': 216.5999999999997, 'avg_reward': np.float64(163.45066666666668), 'epsilon': np.float64(0.6899130641294817), 'max_position': 70, 'steps': 501}
{'episode': 75, 'reward': 239.59999999999965, 'avg_reward': np.float64(164.45263157894738), 'epsilon': np.float64(0.686515218388959), 'max_position': 70, 'steps': 501}
{'episode': 76, 'reward': 248.7999999999999, 'avg_reward': np.float64(165.54805194805195), 'epsilon': np.float64(0.6831343532835874), 'max_position': 88, 'steps': 501}
